match_id,game_number,map_name,map_type,map_winner,match_date,team_one_name,team_two_name,team_one_score,team_two_score,season
10223,3,Ilios,Control,Los Angeles Valiant,2018/01/11,Los Angeles Valiant,San Francisco Shock,0.99,1.0,2018
10223,3,Ilios,Control,Los Angeles Valiant,2018/01/11,Los Angeles Valiant,San Francisco Shock,1.0,0.0,2018
10223,3,Ilios,Control,Los Angeles Valiant,2018/01/11,Los Angeles Valiant,San Francisco Shock,1.0,0.65,2018
10224,3,Ilios,Control,Los Angeles Gladiators,2018/01/11,Shanghai Dragons,Los Angeles Gladiators,0.99,1.0,2018
10224,3,Ilios,Control,Los Angeles Gladiators,2018/01/11,Shanghai Dragons,Los Angeles Gladiators,0.58,1.0,2018
10225,3,Ilios,Control,Seoul Dynasty,2018/01/11,Dallas Fuel,Seoul Dynasty,0.35,1.0,2018
10225,3,Ilios,Control,Seoul Dynasty,2018/01/11,Dallas Fuel,Seoul Dynasty,0.0,1.0,2018
10226,3,Oasis,Control,London Spitfire,2018/01/11,London Spitfire,Florida Mayhem,1.0,0.99,2018
10226,3,Oasis,Control,London Spitfire,2018/01/11,London Spitfire,Florida Mayhem,1.0,0.99,2018
10227,3,Oasis,Control,Philadelphia Fusion,2018/01/12,Philadelphia Fusion,Houston Outlaws,1.0,0.0,2018
10227,3,Oasis,Control,Philadelphia Fusion,2018/01/12,Philadelphia Fusion,Houston Outlaws,1.0,0.0,2018
10227,5,Lijiang Tower,Control,Philadelphia Fusion,2018/01/12,Philadelphia Fusion,Houston Outlaws,1.0,0.0,2018
10227,5,Lijiang Tower,Control,Philadelphia Fusion,2018/01/12,Philadelphia Fusion,Houston Outlaws,1.0,0.81,2018
10228,3,Ilios,Control,New York Excelsior,2018/01/12,Boston Uprising,New York Excelsior,0.24,1.0,2018
10228,3,Ilios,Control,New York Excelsior,2018/01/12,Boston Uprising,New York Excelsior,0.0,1.0,2018
10229,3,Ilios,Control,Los Angeles Valiant,2018/01/13,Los Angeles Valiant,Dallas Fuel,1.0,0.0,2018
10229,3,Ilios,Control,Los Angeles Valiant,2018/01/13,Los Angeles Valiant,Dallas Fuel,1.0,0.99,2018
10230,3,Oasis,Control,Boston Uprising,2018/01/13,Florida Mayhem,Boston Uprising,0.33,1.0,2018
10230,3,Oasis,Control,Boston Uprising,2018/01/13,Florida Mayhem,Boston Uprising,0.0,1.0,2018
10231,3,Ilios,Control,San Francisco Shock,2018/01/13,San Francisco Shock,Shanghai Dragons,1.0,0.71,2018
10231,3,Ilios,Control,San Francisco Shock,2018/01/13,San Francisco Shock,Shanghai Dragons,1.0,0.0,2018
10232,3,Ilios,Control,London Spitfire,2018/01/13,London Spitfire,Philadelphia Fusion,1.0,0.32,2018
10232,3,Ilios,Control,London Spitfire,2018/01/13,London Spitfire,Philadelphia Fusion,1.0,0.0,2018
